,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
3214,2.0,2021-07-01 02:09:07,2021-07-01 02:12:18,1.0,0.54,1.0,N,234,164,2.0,4.5,0.5,0.5,0.0,0.0,0.3,8.3,2.5
3215,2.0,2021-07-01 02:19:55,2021-07-01 02:31:49,1.0,3.56,1.0,N,237,260,2.0,12.5,0.5,0.5,0.0,0.0,0.3,16.3,2.5
3216,2.0,2021-07-01 02:49:50,2021-07-01 02:53:19,1.0,0.55,1.0,N,263,263,1.0,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
3217,2.0,2021-07-01 02:45:35,2021-07-01 03:00:21,1.0,4.41,1.0,N,142,42,1.0,14.5,0.5,0.5,3.66,0.0,0.3,21.96,2.5
3218,2.0,2021-07-01 02:03:27,2021-07-01 02:25:37,1.0,18.01,2.0,N,132,75,1.0,52.0,0.0,0.5,11.87,6.55,0.3,72.47,0.0
3219,2.0,2021-07-01 02:01:20,2021-07-01 02:11:33,1.0,2.77,1.0,N,100,140,1.0,10.5,0.5,0.5,2.0,0.0,0.3,16.3,2.5
3220,2.0,2021-07-01 02:54:01,2021-07-01 02:58:02,2.0,0.7,1.0,N,230,170,1.0,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5
3221,2.0,2021-07-01 02:59:15,2021-07-01 03:04:55,1.0,1.72,1.0,N,170,79,1.0,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5
3222,2.0,2021-07-01 02:01:14,2021-07-01 02:28:35,1.0,18.6,2.0,N,132,48,1.0,52.0,0.0,0.5,12.62,6.55,0.3,75.72,2.5
3223,2.0,2021-07-01 02:03:50,2021-07-01 02:19:44,1.0,4.68,1.0,N,148,142,1.0,16.0,0.5,0.5,4.95,0.0,0.3,24.75,2.5
3224,2.0,2021-07-01 02:26:07,2021-07-01 02:33:24,1.0,1.45,1.0,N,48,164,2.0,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5
3225,1.0,2021-07-01 02:39:29,2021-07-01 02:53:17,1.0,9.0,1.0,N,132,39,1.0,26.0,1.75,0.5,0.0,0.0,0.3,28.55,0.0
3226,2.0,2021-07-01 02:26:51,2021-07-01 02:39:34,1.0,5.27,1.0,N,229,256,2.0,16.0,0.5,0.5,0.0,0.0,0.3,19.8,2.5
3227,2.0,2021-07-01 02:31:17,2021-07-01 02:36:10,1.0,1.42,1.0,N,234,100,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
3228,1.0,2021-07-01 02:05:18,2021-07-01 02:32:03,0.0,12.5,1.0,N,132,188,2.0,37.0,1.75,0.5,0.0,0.0,0.3,39.55,0.0
3229,2.0,2021-07-01 02:00:00,2021-07-01 02:17:31,6.0,2.14,1.0,N,48,238,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
3230,2.0,2021-07-01 02:44:50,2021-07-01 02:53:48,6.0,2.93,1.0,N,48,211,2.0,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
3231,2.0,2021-07-01 02:39:09,2021-07-01 02:49:31,5.0,2.6,1.0,N,140,50,1.0,10.0,0.5,0.5,1.5,0.0,0.3,15.3,2.5
3232,2.0,2021-07-01 02:18:52,2021-07-01 02:45:00,2.0,18.37,2.0,N,132,230,2.0,52.0,0.0,0.5,0.0,6.55,0.3,63.1,2.5
3233,2.0,2021-07-01 02:53:08,2021-07-01 03:00:03,2.0,1.77,1.0,N,161,239,1.0,8.0,0.5,0.5,2.0,0.0,0.3,13.8,2.5
3234,2.0,2021-07-01 02:05:07,2021-07-01 02:18:26,1.0,8.04,1.0,N,138,262,1.0,23.5,0.5,0.5,8.78,6.55,0.3,43.88,2.5
3235,1.0,2021-07-01 02:09:13,2021-07-01 02:24:57,1.0,4.6,1.0,N,48,7,1.0,16.0,3.0,0.5,3.95,0.0,0.3,23.75,2.5
3236,2.0,2021-07-01 02:26:17,2021-07-01 02:37:43,1.0,4.01,1.0,N,107,97,2.0,14.0,0.5,0.5,0.0,0.0,0.3,17.8,2.5
3237,1.0,2021-07-01 02:10:22,2021-07-01 02:21:59,0.0,1.3,1.0,Y,142,48,2.0,9.0,2.5,0.5,0.0,0.0,0.3,12.3,2.5
3238,1.0,2021-07-01 02:28:04,2021-07-01 02:42:24,0.0,2.4,1.0,N,142,141,1.0,12.0,2.5,0.5,3.8,0.0,0.3,19.1,2.5
3239,1.0,2021-07-01 02:55:09,2021-07-01 03:18:04,0.0,0.9,1.0,N,140,229,1.0,14.0,2.5,0.5,1.73,0.0,0.3,19.03,2.5
3240,2.0,2021-07-01 02:22:42,2021-07-01 02:40:12,1.0,10.53,1.0,N,132,39,1.0,29.5,0.5,0.5,0.0,0.0,0.3,32.05,0.0
3241,2.0,2021-07-01 02:56:13,2021-07-01 03:03:32,1.0,4.01,1.0,N,132,132,2.0,12.5,0.5,0.5,0.0,0.0,0.3,15.05,0.0
3242,2.0,2021-07-01 02:03:59,2021-07-01 02:06:51,1.0,0.55,1.0,N,186,68,1.0,4.0,0.5,0.5,1.0,0.0,0.3,8.8,2.5
3243,2.0,2021-07-01 02:11:55,2021-07-01 02:17:27,1.0,1.16,1.0,N,246,158,1.0,6.0,0.5,0.5,5.0,0.0,0.3,14.8,2.5
3244,2.0,2021-07-01 02:19:48,2021-07-01 02:22:38,1.0,0.49,1.0,N,249,90,1.0,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5
3245,2.0,2021-07-01 02:23:20,2021-07-01 02:28:19,1.0,1.74,1.0,N,90,48,1.0,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5
